Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1,2,1102,2,1,2,1,2,0,94,3,2,7,4,2,19479,8,1,11,3,1,0,8,0,1,6,4,0,5
49,0,1,279,1,8,1,1,3,1,61,2,2,6,2,1,24907,1,0,23,4,4,1,10,3,3,10,7,1,7
37,1,2,1373,1,2,2,4,4,1,92,2,1,2,3,2,2396,6,1,15,3,2,0,7,3,3,0,0,0,0
33,0,1,1392,1,3,4,1,4,0,56,3,1,6,3,1,23159,1,1,11,3,3,0,8,3,3,8,7,3,0
27,0,2,591,1,2,1,3,1,1,40,3,1,2,2,1,16632,9,0,12,3,4,1,6,3,3,2,2,2,2
32,0,1,1005,1,2,2,1,4,1,79,3,1,2,4,2,11864,0,0,13,3,3,0,8,2,2,7,7,3,6
59,0,2,1324,1,3,3,3,3,0,81,4,1,2,1,1,9964,4,1,20,4,1,3,12,3,2,1,0,0,0
30,0,2,1358,1,24,1,1,4,1,67,3,1,2,3,0,13335,1,0,22,4,2,1,1,2,3,1,0,0,0
38,0,1,216,1,23,3,1,4,1,44,2,3,4,3,2,8787,0,0,21,4,2,0,10,2,3,9,7,1,8
36,0,2,1299,1,27,3,3,3,1,94,3,2,0,3,1,16577,6,0,13,3,2,2,17,3,2,7,7,7,7
35,0,2,809,1,16,3,3,1,1,84,4,1,2,2,1,16479,0,0,13,3,3,1,6,5,3,5,4,0,3
29,0,2,153,1,15,2,1,4,0,49,2,2,2,3,2,12682,0,1,12,3,4,0,10,3,3,9,5,0,8
31,0,2,670,1,26,1,1,1,1,31,3,1,6,3,0,15170,1,0,17,3,4,1,5,1,2,5,2,4,3
34,0,2,1346,1,19,2,3,2,1,93,3,1,2,4,0,8758,0,0,11,3,3,1,3,2,3,2,2,1,2
28,1,2,103,1,24,3,1,3,1,50,2,1,2,3,2,12947,5,1,14,3,2,0,6,4,3,4,2,0,3
29,0,2,1389,1,21,4,1,2,0,51,4,3,4,1,0,10195,1,0,11,3,3,1,10,1,3,10,9,8,8
32,0,2,334,1,5,2,1,1,1,80,4,1,6,2,0,15053,0,1,12,3,4,2,7,5,2,6,2,0,5
22,0,0,1123,1,16,2,3,4,1,96,4,1,2,4,0,7324,1,1,13,3,2,2,1,2,2,1,0,0,0
53,0,2,1219,2,2,4,1,1,0,78,2,4,3,4,1,22021,2,0,16,3,3,0,31,3,3,25,8,3,7
38,0,2,371,1,2,3,1,4,1,45,3,1,6,4,2,4306,5,1,11,3,3,0,6,3,3,3,2,1,2
24,0,0,673,1,11,2,4,1,0,96,4,2,4,3,0,8232,0,0,18,3,4,1,5,5,2,4,2,1,3
36,1,2,1218,2,9,4,1,3,1,82,2,1,8,1,2,6986,7,0,23,4,2,0,10,4,3,5,3,0,3
34,0,2,419,1,7,4,1,1,0,53,3,3,5,2,2,21293,0,0,11,3,3,0,13,4,3,12,6,2,11
21,0,2,391,1,15,2,1,3,1,96,3,1,6,4,2,19281,1,0,14,3,4,0,0,6,3,0,0,0,0
34,1,2,699,1,6,1,3,2,1,83,3,1,6,1,2,17102,2,0,11,3,3,0,8,2,3,4,2,1,3
53,0,2,1282,1,5,3,4,3,0,58,3,5,3,3,0,10735,4,0,11,3,4,1,26,3,2,14,13,4,8
32,1,1,1125,1,16,1,1,2,0,72,1,1,6,1,2,4681,1,1,22,4,2,0,10,5,3,10,2,6,7
42,0,2,691,2,8,4,2,3,1,48,3,2,7,2,1,21173,0,0,11,3,4,1,10,2,3,9,7,4,2
44,0,2,477,1,7,4,3,1,0,42,2,3,0,4,1,2094,3,0,14,3,4,1,24,4,3,22,6,5,17
46,0,2,705,2,2,4,2,2,0,83,3,5,3,1,2,22822,3,0,12,3,4,0,22,2,2,2,2,2,1
33,0,2,924,1,2,3,3,3,1,78,3,1,2,4,2,6670,4,0,11,3,4,0,7,3,3,1,1,0,0
44,0,2,1459,1,10,4,4,4,1,41,3,2,0,4,1,19121,2,1,13,3,4,0,9,5,4,4,2,1,3
30,0,2,125,1,9,2,3,4,1,83,2,1,2,3,2,16117,1,0,13,3,1,0,10,5,3,10,0,1,8
39,1,2,895,2,5,3,5,4,1,56,3,2,8,4,1,3335,3,0,14,3,3,1,19,6,4,1,0,0,0
24,1,2,813,1,1,3,3,2,1,61,3,1,6,4,1,3020,2,1,16,3,1,1,6,2,2,2,0,2,0
43,0,2,1273,1,2,2,3,4,0,72,4,1,6,3,0,21923,1,0,12,3,4,2,6,3,2,5,3,1,4
50,1,2,869,2,3,2,2,1,1,86,2,1,8,3,1,3810,1,1,14,3,3,0,3,2,3,3,2,0,2
35,0,2,890,2,2,3,2,4,0,97,3,1,8,4,1,9687,1,0,13,3,1,0,2,3,3,2,2,2,2
36,0,2,852,1,5,4,1,2,0,82,2,1,6,1,1,13072,9,1,14,3,4,1,6,3,4,1,1,0,0
33,0,1,1141,2,1,3,1,3,0,42,4,2,7,1,1,3193,2,0,19,3,1,2,10,3,3,5,3,1,3
